year,week,player,brier,pick_acc,conf_rank_corr,conf_mae
2024,9,DO YOU FEEL LUCKY PUNK,0.214146686978107,0.6666666666666666,0.39999999999999997,3.2
2024,9,John K,0.21859279521185188,0.6,0.8107142857142855,2.0
2024,12,MDTwinTeam,0.1680954953846154,0.8461538461538461,0.9120879120879121,0.9230769230769231
2024,12,Mickey's Team,0.038828382976100966,1.0,0.8681318681318682,1.5384615384615385
2024,12,Sutterbrown,0.06127902991586539,0.9230769230769231,0.7912087912087913,1.6923076923076923
2024,12,Fishy Picks,0.036954881217948723,1.0,0.9120879120879121,1.2307692307692308
2024,12,EChev,0.04060489506410257,1.0,0.7747252747252747,2.1538461538461537
2024,12,Piru’s Picks,0.0431121985096154,1.0,0.901098901098901,1.3846153846153846
2024,12,OneNDone,0.046848905749198706,0.9230769230769231,0.8021978021978022,1.5384615384615385
2024,12,thol1572,0.03641950097351231,1.0,0.8791208791208791,1.2307692307692308
2024,12,Balz Deep,0.11363301068910256,0.8461538461538461,0.8791208791208791,1.3846153846153846
2024,12,TD's Nutz,0.07266452549278846,0.9230769230769231,0.7692307692307693,1.8461538461538463
2024,12,Hennything Possible,0.061686274480758134,0.9230769230769231,0.8296703296703297,1.6923076923076923
2024,12,Ballbusters,0.03853016144540671,1.0,0.7802197802197801,2.0
2024,12,Bucky Swirving,0.08217668993589743,0.9230769230769231,0.8571428571428571,1.5384615384615385
2024,12,Brock,0.04741419680689101,0.9230769230769231,0.8461538461538461,1.3846153846153846
2024,12,Johnsonmaia06,0.04930544064893282,0.9230769230769231,0.9065934065934067,1.3846153846153846
2024,12,KKRAHN21,0.08851356395432694,0.9230769230769231,0.9120879120879121,1.2307692307692308
2024,12,BFense,0.10748169395930139,0.7692307692307693,0.8901098901098902,1.0769230769230769
2024,12,RICHDOG !!!!!!,0.03683895233603297,1.0,0.7417582417582418,2.1538461538461537
2024,12,Jason B,0.1916396935096154,0.7692307692307693,0.6263736263736264,2.4615384615384617
2024,12,Handsup,0.09806404866586536,0.8461538461538461,0.8736263736263737,1.2307692307692308
2024,12,Oski no 1,0.04712807366586538,0.9230769230769231,0.7527472527472527,2.0
2024,12,California Dreaming,0.03965066025641025,1.0,0.7912087912087913,1.5384615384615385
2024,12,Tone 3132,0.10740068760817309,0.7692307692307693,0.7692307692307693,1.8461538461538463
2024,12,Knoll34,0.0980717318389423,0.8461538461538461,0.7032967032967032,2.3076923076923075
2024,12,DADDY YANKEE,0.0622558988989261,0.9230769230769231,0.8626373626373626,1.2307692307692308
2024,12,NoWayIGotMorePointsThenYou?!?!,0.09142746860443349,0.8461538461538461,0.8186813186813187,1.5384615384615385
2024,12,Matt,0.0981621294070513,0.8461538461538461,0.7637362637362637,2.0
2024,12,#FlytheW,0.23155046942307694,0.6153846153846154,0.7967032967032966,1.8461538461538463
2024,12,9 inches,0.14031710637401168,0.7692307692307693,0.8791208791208791,1.3846153846153846
2024,12,ShowMeYourTDs,0.236662442312069,0.6923076923076923,0.7747252747252747,2.0
2024,12,OB1,0.08925076785178021,0.9230769230769231,0.8461538461538461,1.5384615384615385
2024,12,Arcedinero,0.09166349403846154,0.8461538461538461,0.7472527472527472,2.0
2024,12,Boldz36,0.10142364050235478,0.9230769230769231,0.6428571428571429,2.1538461538461537
2024,12,Reggie,0.12164949658653844,0.8461538461538461,0.8571428571428571,1.5384615384615385
2024,12,Mopar,0.15717525120192308,0.7692307692307693,0.9340659340659341,1.0769230769230769
2024,12,John K,0.09978765243076923,0.8461538461538461,0.6593406593406593,2.3076923076923075
2024,12,Boats n Hoes,0.07173334564102564,0.9230769230769231,0.5934065934065934,2.0
2024,12,Victorious Bastard,0.14905443828628087,0.6923076923076923,0.9340659340659341,0.9230769230769231
2024,12,FastEddie,0.1566696591070629,0.6923076923076923,0.8571428571428571,1.3846153846153846
2024,12,Weird,0.0718611549158654,0.9230769230769231,0.6153846153846153,1.6923076923076923
2024,12,Firman's Educated Guesses,0.06526735181456908,0.9230769230769231,0.04395604395604395,4.153846153846154
2024,12,GOOD,0.18311405248397433,0.7692307692307693,0.7142857142857143,2.1538461538461537
2024,12,Omar,0.17106627536955962,0.6923076923076923,0.8241758241758241,1.6923076923076923
2024,12,Lenzen,0.19379958249396073,0.6153846153846154,0.8076923076923077,1.8461538461538463
2024,12,NFL in PINK,0.1404871164543269,0.7692307692307693,0.8516483516483516,1.5384615384615385
2024,12,Pikachu,0.23959935966346152,0.6923076923076923,0.8186813186813187,2.0
2024,12,sawyer 0-4 Michigan owns day,0.24252208145833334,0.6153846153846154,0.6373626373626374,2.4615384615384617
2024,12,Big Daddy125,0.340140446923077,0.46153846153846156,0.32417582417582413,3.5384615384615383
